title,creator,date,description,subject,location,latitude,longitude,source,objectid,type,format,language,rights,rightsstatement,reference_url,filename
Mehmet Genç İhtifali,Digital Ottoman Studies,2021-04-17,Mehmet Genç İhtifali,Anma Programı,"İstanbul,Fatih;Bilim ve Sanat Vakfı",41.01677546,28.95987789,Bilim ve Sanat Vakfı,mg-11,Görüntü,image/jpg,tr,https://twitter.com/bisavorgtr/status/1382414164837158919,,https://digitalottomans.github.io/demo/item.html?id=11,mg-11.jpg
Osmanlı Devletinde İç Gümrük Rejimi,Digital Ottoman Studies,1985,Osmanlı Devletinde İç Gümrük Rejimi,Ansiklopedi Maddesi;İktisat;Ticaret,İstanbul,41.1292562,28.88335172,"Tanzimat&#39;tan Cumhuriyet&#39;e Türkiye Ansiklopedisi, İletişim Yayınları, 3: 786-790",mg-12,Döküman,application/pdf,tr,https://iletisim.com.tr,,https://digitalottomans.github.io/demo/item.html?id=12,mg-12.pdf
Esham,Digital Ottoman Studies,1995,Esham,Ansiklopedi Maddesi;İktisat;Maliye;Vergi,İstanbul,41.1292562,28.88335172,"TDV İslam Ansiklopedisi, 11: 376-380",mg-13,Döküman,application/pdf,tr,https://islamansiklopedisi.org.tr/esham,,https://digitalottomans.github.io/demo/item.html?id=13,mg-13.pdf
18. Yüzyılda Osmanlı Sanayiinde Değişmeler ve Devletin Rolü,Digital Ottoman Studies,1999,18. Yüzyılda Osmanlı Sanayiinde Değişmeler ve Devletin Rolü,Ansiklopedi Maddesi;İktisat;Sanayii;18.Yy,Ankara,39.9753847,32.75741589,"Güler Eren ed. Osmanlı Ansiklopedisi, 3: 263-268",mg-14,Döküman,application/pdf,tr,https://yeniturkiye.com,,https://digitalottomans.github.io/demo/item.html?id=14,mg-14.pdf
İltizam,Digital Ottoman Studies,2000,İltizam,Ansiklopedi Maddesi;İktisat;Maliye;Vergi,İstanbul,41.1292562,28.88335172,"TDV İslam Ansiklopedisi, 22: 154-158",mg-15,Döküman,application/pdf,tr,https://islamansiklopedisi.org.tr/iltizam--vergi,,https://digitalottomans.github.io/demo/item.html?id=15,mg-15.pdf
Malikane,Digital Ottoman Studies,2003,Malikane,Ansiklopedi Maddesi;İktisat;Maliye;Vergi,İstanbul,41.1292562,28.88335172,"TDV İslam Ansiklopedisi, 27: 516-518",mg-16,Döküman,application/pdf,tr,https://islamansiklopedisi.org.tr/malikane,,https://digitalottomans.github.io/demo/item.html?id=16,mg-16.pdf
Malikane Divani,Digital Ottoman Studies,2003,Malikane Divani,Ansiklopedi Maddesi;İktisat;Maliye;Vergi,Ankara,39.9753847,32.75741589,"TDV İslam Ansiklopedisi, 27: 518-519",mg-17,Döküman,application/pdf,tr,https://islamansiklopedisi.org.tr/malikane-divani,,https://digitalottomans.github.io/demo/item.html?id=17,mg-17.pdf
Nazır,Digital Ottoman Studies,2006,Nazır,Ansiklopedi Maddesi;Devlet;Bürokrasi;Yönetim,İstanbul,41.1292562,28.88335172,"TDV İslam Ansiklopedisi, 32: 449-450",mg-18,Döküman,application/pdf,tr,https://islamansiklopedisi.org.tr/nazir#2-osmanlilarda,,https://digitalottomans.github.io/demo/item.html?id=18,mg-18.pdf
Mukataa,Digital Ottoman Studies,2006,Mukataa,Ansiklopedi Maddesi;İktisat;Maliye;Vergi,İstanbul,41.1292562,28.88335172,"TDV İslam Ansiklopedisi, 31: 129-132",mg-19,Döküman,application/pdf,tr,https://islamansiklopedisi.org.tr/mukataa,,https://digitalottomans.github.io/demo/item.html?id=19,mg-19.pdf
Osmanlılar: İktisadî ve Ticarî Yapı,Digital Ottoman Studies,2007,Osmanlılar: İktisadî ve Ticarî Yapı,Ansiklopedi Maddesi;İktisat;Ticaret,İstanbul,41.1292562,28.88335172,"TDV İslam Ansiklopedisi, 33: 525-532",mg-20,Döküman,application/pdf,tr,https://islamansiklopedisi.org.tr/osmanlilar#9-iktisadi-ve-ticari-yapi-normal,,https://digitalottomans.github.io/demo/item.html?id=20,mg-20.pdf
Yed-i Vahid,Digital Ottoman Studies,2013,Yed-i Vahid,Ansiklopedi Maddesi;İktisat;Maliye;Vergi,İstanbul,41.1292562,28.88335172,"TDV İslam Ansiklopedisi, 43: 378-383",mg-21,Döküman,application/pdf,tr,https://islamansiklopedisi.org.tr/yed-i-vahid,,https://digitalottomans.github.io/demo/item.html?id=21,mg-21.pdf
Economy and Economic Policy,Digital Ottoman Studies,2009,Economy and Economic Policy,Ansiklopedi Maddesi;İktisat;İktisadi Politika,New York,40.71973899,-73.98783181,"Gabor Agoston and Bruce Master ed. Encyclopaedia of the Ottoman Empire, Facts on File 192-195",mg-22,Döküman,application/pdf,eng,https://www.academia.edu/7915303/_Economy_and_economic_policy_in_Encyclopaedia_of_the_Ottoman_Empire,,https://digitalottomans.github.io/demo/item.html?id=22,mg-22.pdf
"Katsumi Fukasawa, Toilerie et Commerce du Levant au XVIII Siècle d&#39;Alep à Marseille",Digital Ottoman Studies,1988,"Katsumi Fukasawa, Toilerie et Commerce du Levant au XVIII Siècle d&#39;Alep à Marseille, Kitap Değerlendirmesi",Kitap Değerlendirmesi;Ticaret;Akdeniz;Şehirler;Halep;Marsilya;Yüzyıllar;18.Yy,İstanbul,41.1292562,28.88335172,Türk-Arab İlişkileri İncelemeleri Yıllığı: 191-196,mg-23,Döküman,application/pdf,eng,https://www.academia.edu/7838737/Review_Katsumi_FUKASAWA_Toilerie_et_commerce_du_Levant_au_XVIII_siècle_dAlep_à_Marseille_1987,,https://digitalottomans.github.io/demo/item.html?id=23,mg-23.pdf
Modern İktisadi Büyüme Karşısında Osmanlı Sistemi ve Ekonomisi,Digital Ottoman Studies,2014,Modern İktisadi Büyüme Karşısında Osmanlı Sistemi ve Ekonomisi,Makale;İktisat;Dönemler;Modern,İstanbul,41.1292562,28.88335172,"Türkiye Günlüğü, 119: 5-15",mg-24,Döküman,application/pdf,tr,https://www.academia.edu/12094195/Modern_İktisadi_Büyüme_Karşısında_Osmanlı_Sistemi_ve_Ekonomisi,,https://digitalottomans.github.io/demo/item.html?id=24,mg-24.pdf
Klasik Osmanlı Sosyal-İktisadî Sistemi ve Vakıflar,Digital Ottoman Studies,2014,Klasik Osmanlı Sosyal-İktisadî Sistemi ve Vakıflar,Makale;İktisat;İktisadi Sistem;Toplum;Vakıflar;Dönemler;Klasik,İstanbul,41.1292562,28.88335172,"Vakıflar Dergisi, 42: 9-18",mg-25,Döküman,application/pdf,tr,https://www.academia.edu/12094170/Klasik_Osmanlı_Sosyal_İktisadi_Sistemi_ve_Vakıflar,,https://digitalottomans.github.io/demo/item.html?id=25,mg-25.pdf
19. Yüzyılda Osmanlı İktisadî Dünya Görüşünün Klasik Prensiplerindeki Değişmeler,Digital Ottoman Studies,1999-06,19. Yüzyılda Osmanlı İktisadî Dünya Görüşünün Klasik Prensiplerindeki Değişmeler,Makale;İktisat;İktisadi Düşünce;Dönemler;Modern;Yüzyıllar;19.Yy,İstanbul,41.1292562,28.88335172,"Divan: Disiplinlerarası Çalışmalar Dergisi, 6: 1-8",mg-26,Döküman,application/pdf,tr,https://dergipark.org.tr/tr/pub/divan/issue/25935/273232,,https://digitalottomans.github.io/demo/item.html?id=26,mg-26.pdf
L&#39;Économie Ottomane et la Guerre au XVIII e Siècle,Digital Ottoman Studies,1995,L&#39;Économie Ottomane et la Guerre au XVIII e Siècle,Makale;İktisat;Devlet;Savaş;Yüzyıllar;18.Yy,İstanbul,41.1292562,28.88335172,"Turcica, 27: 177-196",mg-27,Döküman,application/pdf,fr,https://www.academia.edu/7914628/LÉconomie_ottomane_et_la_guerre_au_XVIII_e_siècle_Turcica_1995_27_177_196,,https://digitalottomans.github.io/demo/item.html?id=27,mg-27.pdf
Osmanlı’da Devlet ve Ekonomi Üzerine,Digital Ottoman Studies,2003,Osmanlı’da Devlet ve Ekonomi Üzerine,Makale;İktisat;Devlet,İstanbul;Türkiye Araştırmaları Literatür Dergisi,41.1292562,28.88335172,"Türkiye Araştırmaları Literatür Dergisi, 1/1: 369-384",mg-28,Döküman,application/pdf,tr,https://dergipark.org.tr/tr/pub/talid/issue/43380/528513,,https://digitalottomans.github.io/demo/item.html?id=28,mg-28.pdf
18. Yüzyılda Osmanlı Sanayii,Digital Ottoman Studies,1991,18. Yüzyılda Osmanlı Sanayii,Makale;İktisat;Sanayii;Yüzyıllar;18.Yy,İstanbul,41.1292562,28.88335172,"Toplum ve Ekonomi, 2: 99-124",mg-29,Döküman,application/pdf,tr,,,https://digitalottomans.github.io/demo/item.html?id=29,mg-29.pdf
19. Yüzyılın Ortalarında Osmanlı Ekonomisi,Digital Ottoman Studies,2012,19. Yüzyılın Ortalarında Osmanlı Ekonomisi,Makale;İktisat;Dönemler;Modern;Yüzyıllar;19.Yy,İstanbul,41.1292562,28.88335172,"Milli Saraylar Sanat Tarih Mimarlık Dergisi, 10: 11-21",mg-30,Döküman,application/pdf,tr,https://www.academia.edu/7838547/19_Yüzyıl_Ortalarında_Osmanlı_Ekonomisi,,https://digitalottomans.github.io/demo/item.html?id=30,mg-30.pdf
Osmanlı İktisadî Dünya Görüşünün İlkeleri,Digital Ottoman Studies,1989,Osmanlı İktisadî Dünya Görüşünün İlkeleri,Makale;İktisat;İktisadi Düşünce,İstanbul,41.1292562,28.88335172,"İstanbul Üniversitesi Edebiyat Fakültesi Sosyoloji Dergisi, 3/1: 175-185",mg-31,Döküman,application/pdf,tr,https://dergipark.org.tr/tr/pub/iusosyoloji/issue/533/4903,,https://digitalottomans.github.io/demo/item.html?id=31,mg-31.pdf
18. Yüzyılda Türkiye’den Fransa’ya Yapılan Pamuklu İhracatı ile İlgili Bir Araştırma Hakkında Düşünceler,Digital Ottoman Studies,1988,18. Yüzyılda Türkiye’den Fransa’ya Yapılan Pamuklu İhracatı ile İlgili Bir Araştırma Hakkında Düşünceler,Makale;Ticaret;İhracat;Pamuk;Ülkeler;Fransa,İstanbul,41.1292562,28.88335172,"Türk Dünyasını Araştırmaları Dergisi, 57: 152-156",mg-32,Döküman,application/pdf,tr,https://dergipark.org.tr/tr/pub/tda,,https://digitalottomans.github.io/demo/item.html?id=32,mg-32.pdf
18. Yüzyıla Ait Osmanlı Mali Verilerinin İktisadi Faaliyetin Göstergesi Olarak Kullanılabilirliği Üzerinde Bir Çalışma,Digital Ottoman Studies,1981-02,18. Yüzyıla Ait Osmanlı Mali Verilerinin İktisadi Faaliyetin Göstergesi Olarak Kullanılabilirliği Üzerinde Bir Çalışma,Makale;İktisat;İktisadi Faaliyet;Maliye;Yüzyıllar;18.Yy,İstanbul,41.1292562,28.88335172,"Türk Dünyası Araştırmaları Dergisi, 2/10: 33-77",mg-33,Döküman,application/pdf,tr,https://dergipark.org.tr/tr/pub/tda,,https://digitalottomans.github.io/demo/item.html?id=33,mg-33.pdf
17-19. Yüzyıllarda Sanayi ve Ticaret Merkezi Olarak Tokat,Digital Ottoman Studies,1988,17-19. Yüzyıllarda Sanayi ve Ticaret Merkezi Olarak Tokat,Makale;Ticaret;İktisat;Sanayii;Şehirler;Tokat;Yüzyıllar;17.Yy;19.Yy,İstanbul,41.1292562,28.88335172,"Türklük Araştırma Dergisi, 3: 35-56",mg-34,Döküman,application/pdf,tr,,,https://digitalottomans.github.io/demo/item.html?id=34,mg-34.pdf
18. Yüzyılda Osmanlı Ekonomisi ve Savaş,Digital Ottoman Studies,1984-05,18. Yüzyılda Osmanlı Ekonomisi ve Savaş,Makale;İktisat;Devlet;Savaş;Yüzyıllar;18.Yy,İstanbul,41.1292562,28.88335172,"Yapıt, Toplumsal Araştırmalar Dergisi, 49, Mayıs: 52-61",mg-35,Döküman,application/pdf,tr,,,https://digitalottomans.github.io/demo/item.html?id=35,mg-35.pdf
İki İmparatorluğun Başkenti,Digital Ottoman Studies,1998-10,İki İmparatorluğun Başkenti,Makale;Şehirler;İstanbul,İstanbul,41.1292562,28.88335172,"İstanbullu, 12-14",mg-37,Döküman,application/pdf,tr,,,https://digitalottomans.github.io/demo/item.html?id=37,mg-37.pdf
Contrôle et Taxation du Commerce du Café dans l’Empire Ottoman fin XVIIe—Première Moitié du XVIIIe Siècle,Digital Ottoman Studies,2001,Contrôle et Taxation du Commerce du Café dans l’Empire Ottoman fin XVIIe—Première Moitié du XVIIIe Siècle,Kitap Bölümü;İktisat;Maliye;Vergi;Ticaret;Kahve;Yüzyıllar;17.Yy;18.Yy,"Mısır,Kahire",30.28545304,31.24917571,"Michel Tuchscherer ed. Le Commerce du Café: Avant l’ére des Plantations Coloniales Espaces, Réseaux, Sociétés (XVe-XIXe Siécle): 161-179",mg-38,Döküman,application/pdf,fr,https://www.academia.edu/7838756/_Contrôle_et_taxation_du_commerce_du_café_dans_l_Empire_ottoman_fin_XVIIe_première_moitié_du_XVIIIe_siècle_le_commerce_du_café_avant_l_ére_des_plantations_coloniales_espaces_réseaux_sociétés_XVe_XIXe_siécle_2001_161_179,,https://digitalottomans.github.io/demo/item.html?id=38,mg-38.pdf
"Osmanlı’da Zanaat, Ahlâk ve İktisat İlişkisi",Digital Ottoman Studies,1995,"Osmanlı’da Zanaat, Ahlâk ve İktisat İlişkisi",Kitap Bölümü;İktisat;İktisadi Düşünce;Ticaret;Zanaat,İstanbul,41.1292562,28.88335172,"Anatomi Dersleri: Osmanlı Kültürü, Yapı Kredi Yayınları, 106-145 ",mg-39,Döküman,application/pdf,fr,https://www.yapikrediyayinlari.com.tr,,https://digitalottomans.github.io/demo/item.html?id=39,mg-39.pdf
"Ottoman Industry in the Eighteenth Century: General Framework, Characteristics and Main Trends",Digital Ottoman Studies,1994,"Ottoman Industry in the Eighteenth Century: General Framework, Characteristics and Main Trends",Kitap Bölümü;İktisat;Sanayii;Yüzyıllar;18.Yy,New York,40.71973899,-73.98783181,"Donald Quataert ed., Manufacturing in the Ottoman Empire and Turkey (1500-1950), State University of New York Press, 59-86 ",mg-40,Döküman,application/pdf,eng,https://www.academia.edu/7838797/_Ottoman_industry_in_the_eighteenth_century_general_framework_characteristics_and_main_trends_Manufacturing_in_the_Ottoman_Empire_and_Turkey_1500_1950_1994_59_86,,https://digitalottomans.github.io/demo/item.html?id=40,mg-40.pdf
Tarih Araştırmaları Üzerine Yorum,Digital Ottoman Studies,1986,Tarih Araştırmaları Üzerine Yorum,Kitap Bölümü;Tarihçilik,Ankara,39.9753847,32.75741589,"Sevil Atauz ed., Türkiye&#39;de Sosyal Bilim Araştırmalarının Gelişimi, Türk Sosyal Bilimler Derneği Yayınları, 439-446",mg-41,Döküman,application/pdf,tr,https://www.academia.edu/7838820/Tarih_Araştırmaları_Oturumu_Üzerine_Yorum,,https://digitalottomans.github.io/demo/item.html?id=41,mg-41.pdf
A Study of the Feasibility of Using Eighteenth-century Ottoman Financial Records as an Indicator of Economic Activity,Digital Ottoman Studies,1987,A Study of the Feasibility of Using Eighteenth-century Ottoman Financial Records as an Indicator of Economic Activity,Kitap Bölümü;İktisat;Yüzyıllar;18.Yy,Cambridge,52.21079386,0.1227536308,"Huri İslamoğlu-İnan ed., The Ottoman Empire and the World-Economy, Cambridge University Press, p. 345-373",mg-42,Döküman,application/pdf,eng,https://www.academia.edu/7838746/_A_study_of_the_feasibility_of_using_eighteenth_century_Ottoman_financial_records_as_an_indicator_of_economic_activity_The_Ottoman_Empire_and_the_world_economy_1987_345_73,,https://digitalottomans.github.io/demo/item.html?id=42,mg-42.pdf
Tarihsel Sosyoloji Üzerine Söyleşi,Digital Ottoman Studies,2008,Tarihsel Sosyoloji Üzerine Söyleşi,Kitap Bölümü;Tarihçilik;Tarihsel Sosyoloji,Ankara,39.9753847,32.75741589,"Elizabeth Özdalga ed., Tarihsel Sosyoloji, Doğu Batı Yayınları, 63-96",mg-43,Döküman,application/pdf,tr,https://www.dogubati.com,,https://digitalottomans.github.io/demo/item.html?id=43,mg-43.pdf
Tarihimize Giydirilen Deli Gömleği: Osmanlı Tarihinde Dönemlendirme Meselesi,Digital Ottoman Studies,2011,Tarihimize Giydirilen Deli Gömleği: Osmanlı Tarihinde Dönemlendirme Meselesi,Kitap Bölümü;Tarihçilik;Dönemlendirme,İstanbul,41.1292562,28.88335172,"Mustafa Armağan ed., Osmanlı Tarihini Yeniden Yazmak Gerileme Paradigmasının Sonu, Timaş Yayınları, 319-326",mg-44,Döküman,application/pdf,tr,http://www.timas.com.tr,,https://digitalottomans.github.io/demo/item.html?id=44,mg-44.pdf
Klasik Osmanlı İktisadî Sisteminde İstanbul’un Yeri,Digital Ottoman Studies,2010,Klasik Osmanlı İktisadî Sisteminde İstanbul’un Yeri,Kitap Bölümü;İktisat;İktisadi Sistem;Şehirler;İstanbul;Dönemler;Klasik,İstanbul,41.1292562,28.88335172,"Kültür Başkenti İstanbul, Türk Kültürüne Hizmet Vakfı Yayınları, 224-231",mg-45,Görüntü,image/jpg,tr,https://tkhv.org.tr/yayinlar/,,https://digitalottomans.github.io/demo/item.html?id=45,mg-45.jpg
Yaptıklarım Yapacaklarımın Yan Ürünüdür,Digital Ottoman Studies,2006,Yaptıklarım Yapacaklarımın Yan Ürünüdür,Kitap Bölümü;Tarihçilik,İstanbul,41.1292562,28.88335172,"Türk Tarihçiliğinde Dört Sima, Timaş Yayınları, 249-254.",mg-46,Döküman,application/pdf,tr,http://www.timas.com.tr,,https://digitalottomans.github.io/demo/item.html?id=46,mg-46.pdf
İktisat Tarihi Bakımından Osmanlı Arşivinde Kısa Bir Gezinti,Digital Ottoman Studies,2004,İktisat Tarihi Bakımından Osmanlı Arşivinde Kısa Bir Gezinti,Kitap Bölümü;İktisat;Tarihçilik;Kaynaklar;Arşiv,İstanbul,41.1292562,28.88335172,"Ertan Eğribel, Ufuk Özcan ed., Sosyoloji Yıllığı, Kitap 11, Baykan Sezer’e Armağan: Baykan Sezer ve Türk Sosyolojisi, 287-294",mg-47,Döküman,application/pdf,tr,https://www.academia.edu/7838874/İktisat_Tarihi_Bakımından_Osmanlı_Arşivinde_Kısa_Bir_Gezinti,,https://digitalottomans.github.io/demo/item.html?id=47,mg-47.pdf
State and the Economy in the Age of Reforms: Continuity and Change,Digital Ottoman Studies,2000,State and the Economy in the Age of Reforms: Continuity and Change,Kitap Bölümü;İktisat;Devlet;Reform,Leiden,52.16014932,4.491806876,"Kemal H. Karpat ed., Ottoman Past and Today’s Turkey, Brill, Leiden, Boston, Köln, 180-187.",mg-48,Döküman,application/pdf,tr,https://www.academia.edu/7838803/Genç_Mehmet_State_and_the_Economy_in_the_Age_of_Reforms_Continuity_and_Change_2000,,https://digitalottomans.github.io/demo/item.html?id=48,mg-48.pdf
Osmanlı Maliyesinde Mukataa Kavramı,Digital Ottoman Studies,2006,Osmanlı Maliyesinde Mukataa Kavramı,Kitap Bölümü;İktisat;Maliye;Vergi,İstanbul,41.1292562,28.88335172,"Mehmed Genç, Erol Özvar eds., Osmanlı Maliyesi Kurumlar ve Bütçeler-1, Osmanlı Bankası Arşiv ve Araştırma Merkezi, 57-64",mg-49,Döküman,application/pdf,tr,https://www.academia.edu/7838509/Osmanlı_Maliyesi_Kurumlar_ve_Bütçeler_1_Erol_Özvar_ile_Birlikte_,,https://digitalottomans.github.io/demo/item.html?id=49,mg-49.pdf
Osmanlı İmparatorluğu&#39;nda Devlet ve Ekonomi,Digital Ottoman Studies,2000,Osmanlı İmparatorluğu&#39;nda Devlet ve Ekonomi,Kitap;İktisat;Devlet,İstanbul,41.1292562,28.88335172,Ötüken Yayınları,mg-50,Döküman,application/pdf,tr,https://www.otuken.com.tr,,https://digitalottomans.github.io/demo/item.html?id=50,mg-50.pdf
Osmanlı Ekonomisine Dair Konuşmalar I,Digital Ottoman Studies,2021,Osmanlı Ekonomisine Dair Konuşmalar I,Kitap;İktisat,İstanbul,41.1292562,28.88335172,Ötüken Yayınları,mg-51,Döküman,application/pdf,tr,https://www.otuken.com.tr,,https://digitalottomans.github.io/demo/item.html?id=51,mg-51.pdf
Osmanlı Maliyesi Kurumlar ve Bütçeler-1 ,Digital Ottoman Studies,2006,Osmanlı Maliyesi Kurumlar ve Bütçeler-1 ,Kitap;İktisat;Maliye;Kurumlar;Bütçe,İstanbul,41.1292562,28.88335172,"Mehmed Genç, Erol Özvar eds.,Osmanlı Bankası Arşiv ve Araştırma Merkezi",mg-53,Döküman,application/pdf,tr,,,https://digitalottomans.github.io/demo/item.html?id=53,mg-53.pdf
Osmanlı Maliyesi Kurumlar ve Bütçeler-2,Digital Ottoman Studies,2006,Osmanlı Maliyesi Kurumlar ve Bütçeler-2,Kitap;İktisat;Maliye;Kurumlar;Bütçe,İstanbul,41.1292562,28.88335172,"Mehmed Genç, Erol Özvar eds.,Osmanlı Bankası Arşiv ve Araştırma Merkezi",mg-54,Döküman,application/pdf,tr,,,https://digitalottomans.github.io/demo/item.html?id=54,mg-54.pdf
"Ahmed Djevad, Yabancılara Göre Eski Türkler",Digital Ottoman Studies,2013,"Ahmed Djevad, Yabancılara Göre Eski Türkler",Çeviri;Toplum;Türkler;Yabancılar;Kişiler;Ahmed Djevad,İstanbul,41.1292562,28.88335172,Kitabevi Yayınları,mg-55,Döküman,application/pdf,tr,https://www.kitabeviyayinlari.com,,https://digitalottomans.github.io/demo/item.html?id=55,mg-55.pdf
"Cipolla, Dünya Nüfusunun İktisat Tarihi",Digital Ottoman Studies,1980,"Cipolla, Dünya Nüfusunun İktisat Tarihi",Çeviri;İktisat;Kişiler;Carlo M. Cipollo;Mehmet Sırrı Gezgin,İstanbul,41.1292562,28.88335172,Ötüken Yayınları,mg-56,Döküman,application/pdf,tr,,,https://digitalottomans.github.io/demo/item.html?id=56,mg-56.pdf
"Ahmed Refik, Bizans İmparatoriçeleri",Digital Ottoman Studies,2003-12,"Ahmed Refik, Bizans İmparatoriçeleri",Editörlük;Devlet;Bizans,İstanbul,41.1292562,28.88335172,"Mehmet Genç, ed. Oku Yayınları",mg-57,Döküman,application/pdf,tr,http://ktp2.isam.org.tr/detayzt.php?navdil=tr&amp;idno=21586&amp;wYazarlar=Mehmet+Genç,,https://digitalottomans.github.io/demo/item.html?id=57,mg-57.pdf
Kuruluşundan Günümüze Fotoğraflarla Sivas Platformu,Digital Ottoman Studies,2010,Kuruluşundan Günümüze Fotoğraflarla Sivas Platformu,Editörlük;Şehirler;Sivas,İstanbul,41.1292562,28.88335172,"Ahmet Özdemir, İbrahim Subaşı, Salih Güzel, Ahmet Arslantürk, İbrahim Aksoy, Mehmet Genç, eds.Sivas Platformu Yayınları",mg-58,Görüntü,image/jpg,tr,,,https://digitalottomans.github.io/demo/item.html?id=58,mg-58.jpg
Environment and urbanism in the Ottoman Empire,Digital Ottoman Studies,2016,Environment and urbanism in the Ottoman Empire,Proje;Şehircilik,"Ankara,Çankaya;Çevre ve Şehircilik Bakanlığı",39.92579047,32.85605541,"Fehmi Yılmaz Proje Yürütücüsü, Mehmet Genç Proje Baş Dnaışmanı, T.C. Çevre ve Şehircilik Bakanlığı",mg-59,Görüntü,image/jpg,eng,,,https://digitalottomans.github.io/demo/item.html?id=59,mg-59.jpg
